name_1,name_2
Cevital,Cevital Food Processing Industry
Kenya Commercial Bank Group,KCB Group Limited
Kenya Commercial Bank Group,KCB Group
Kenya Commercial Bank Group,Kenya Commercial Bank S.C.
Nation Media Group,NMG
Olympia Capital Holdings,Olympia Capital Holdings Limited
Sameer Group,Sameer Group of Companies
Sameer Group,"Yansam Motors Limited, Nairobi, Kenya"
Sameer Group,"Equatorial Commercial Bank, Nairobi, Kenya"
Sameer Group,"Savanna Coffee Lounge, Nairobi, Kenya"
Siger,Société Nationale d'Investissement 
Siger,Les Domaines Agricoles
Siger,Primarios 
Société Nationale d'Investissement,Al Mada
Société Nationale d'Investissement,Agma Lahlou-Tazi
Société Nationale d'Investissement,Lafarge Maroc
Société Nationale d'Investissement,Managem
Société Nationale d'Investissement,Marjane
Société Nationale d'Investissement,Nareva
Société Nationale d'Investissement,ONAPAR
Société Nationale d'Investissement,OPTORG
Société Nationale d'Investissement,SOMED
Société Nationale d'Investissement,SONASID
Société Nationale d'Investissement,Sotherma
Société Nationale d'Investissement,Wafa Assurance
Société Nationale d'Investissement,Wafa Cash
Société Nationale d'Investissement,Wafa Capital
Société Nationale d'Investissement,Wana Corporate  
Société Nationale d'Investissement,Aviation unit called Africaplane
Dangote Group,Dangote Foundation
Dangote Group,Aliko Dangote
Dangote Group,Dangote Cement
John Holt Plc,John Holt plc
Transnational Corporation of Nigeria,Transcorp
United Africa Company of Nigeria,List of Nigerian companies
United Africa Company of Nigeria,Economy of Nigeria
Bidvest Group,Bidvest Automotive
Bidvest Group,Bidvest Branded Products
Bidvest Group,Bidvest Commercial Products
Bidvest Group,Bidvest Financial Services
Bidvest Group,Bidvest Freight
Bidvest Group,Bidvest Services
Alam Group,Alam Group of Companies
Alam Group,"Saimmco Limited – Soroti, Uganda."
Alam Group,"Roofclad Limited – Kampala, Uganda"
Alam Group,"Oxygas Limited – Kampala, Uganda"
Aya Group,Aya Group of Companies
International Medical Group,International Hospital Kampala 
International Medical Group,International Health Sciences University 
International Medical Group,IAA Healthcare – medical insurance
Madhvani Group,Madhvani Group of Companies
Madhvani Group,"Kabuye Sugar Works, Kabuye, Rwanda"
Madhvani Group,"Kakira Airport, Kakira, Uganda"
Madhvani Group,"Madhvani Properties Limited, Kampala, Uganda"
Madhvani Group,"Marasa Holdings Limited, Kampala, Uganda"
Madhvani Group,"Muljibhai Madhvani Foundation, Kakira, Uganda"
Madhvani Group,"Premier Safaris Limited, Jinja, Uganda"
Madhvani Group,Umabano Hotel – Kigali Rwanda
Mara Group,Mara Corporation
Mukwano Group,Mukwano Group of Companies
Mukwano Group,Aqua Sipi bottled water
Mukwano Group,Kyekyo energy drinks
Mukwano Group,Mukwano edible cooking oil
Mukwano Group,Roki fortified edible cooking oil
Mukwano Group,Marina margarine
Mukwano Group,Tamu baking fat
Mukwano Group,Sunseed edible sunflower oil
Mukwano Group,Nice Fry edible cooking fat
Mukwano Group,Nice Fry vegetable frying fat
New Vision Group,Nation Media Group
New Vision Group,New Vision Newspaper
