name_1,name_2
Cevital Food Processing Industry,Cevital
KCB Group Limited,Kenya Commercial Bank Group
KCB Group Limited,KCB Group
KCB Group Limited,Kenya Commercial Bank S.C.
KCB Group,Kenya Commercial Bank Group
KCB Group,KCB Group Limited
KCB Group,Kenya Commercial Bank S.C.
Kenya Commercial Bank S.C.,Kenya Commercial Bank Group
Kenya Commercial Bank S.C.,KCB Group Limited
Kenya Commercial Bank S.C.,KCB Group
Nation Media Group,New Vision Newspaper
Nation Media Group,Uganda Securities Exchange
NMG,Nation Media Group
NMG,New Vision Group
NMG,New Vision Newspaper
NMG,Uganda Securities Exchange
New Vision Group,Nation Media Group
New Vision Group,NMG
New Vision Newspaper,Nation Media Group
New Vision Newspaper,NMG
New Vision Newspaper,New Vision Group
New Vision Newspaper,Uganda Securities Exchange
Uganda Securities Exchange,Nation Media Group
Uganda Securities Exchange,NMG
Uganda Securities Exchange,New Vision Group
Uganda Securities Exchange,New Vision Newspaper
Olympia Capital Holdings Limited,Olympia Capital Holdings
Sameer Group of Companies,Sameer Group
Sameer Group of Companies,"Yansam Motors Limited, Nairobi, Kenya"
Sameer Group of Companies,"Equatorial Commercial Bank, Nairobi, Kenya"
Sameer Group of Companies,"Savanna Coffee Lounge, Nairobi, Kenya"
"Yansam Motors Limited, Nairobi, Kenya",Sameer Group
"Yansam Motors Limited, Nairobi, Kenya",Sameer Group of Companies
"Yansam Motors Limited, Nairobi, Kenya","Equatorial Commercial Bank, Nairobi, Kenya"
"Yansam Motors Limited, Nairobi, Kenya","Savanna Coffee Lounge, Nairobi, Kenya"
"Equatorial Commercial Bank, Nairobi, Kenya",Sameer Group
"Equatorial Commercial Bank, Nairobi, Kenya",Sameer Group of Companies
"Equatorial Commercial Bank, Nairobi, Kenya","Yansam Motors Limited, Nairobi, Kenya"
"Equatorial Commercial Bank, Nairobi, Kenya","Savanna Coffee Lounge, Nairobi, Kenya"
"Savanna Coffee Lounge, Nairobi, Kenya",Sameer Group
"Savanna Coffee Lounge, Nairobi, Kenya",Sameer Group of Companies
"Savanna Coffee Lounge, Nairobi, Kenya","Yansam Motors Limited, Nairobi, Kenya"
"Savanna Coffee Lounge, Nairobi, Kenya","Equatorial Commercial Bank, Nairobi, Kenya"
Société Nationale d'Investissement ,Siger
Société Nationale d'Investissement ,Les Domaines Agricoles
Société Nationale d'Investissement ,Primarios 
Les Domaines Agricoles,Siger
Les Domaines Agricoles,Société Nationale d'Investissement 
Les Domaines Agricoles,Primarios 
Primarios ,Siger
Primarios ,Société Nationale d'Investissement 
Primarios ,Les Domaines Agricoles
Al Mada,Société Nationale d'Investissement
Al Mada,Agma Lahlou-Tazi
Al Mada,Lafarge Maroc
Al Mada,Managem
Al Mada,Marjane
Al Mada,Nareva
Al Mada,ONAPAR
Al Mada,OPTORG
Al Mada,SOMED
Al Mada,SONASID
Al Mada,Sotherma
Al Mada,Wafa Assurance
Al Mada,Wafa Cash
Al Mada,Wafa Capital
Al Mada,Wana Corporate  
Al Mada,Aviation unit called Africaplane
Agma Lahlou-Tazi,Société Nationale d'Investissement
Agma Lahlou-Tazi,Al Mada
Agma Lahlou-Tazi,Lafarge Maroc
Agma Lahlou-Tazi,Managem
Agma Lahlou-Tazi,Marjane
Agma Lahlou-Tazi,Nareva
Agma Lahlou-Tazi,ONAPAR
Agma Lahlou-Tazi,OPTORG
Agma Lahlou-Tazi,SOMED
Agma Lahlou-Tazi,SONASID
Agma Lahlou-Tazi,Sotherma
Agma Lahlou-Tazi,Wafa Assurance
Agma Lahlou-Tazi,Wafa Cash
