name_1,name_2
Cevital,Cevital Food Processing Industry
Cevital,Cevital Food Processing Industry
Cevital,Cevital Food Processing Industry
Kenya Commercial Bank Group,KCB Group Limited
Kenya Commercial Bank Group,KCB Group
Kenya Commercial Bank Group,Kenya Commercial Bank S.C.
Centum Investments,Nabo Capital - 100 percent shareholding - A fund manager in Kenya.
Centum Investments,Zohari Leasing - 100 percent shareholding - A leasing company in Kenya.
Centum Investments,"Sidian Bank - 77 percent shareholding - A commercial bank in Kenya, licensed by the Central Bank of Kenya, the national banking regulator.[21][22]"
Nation Media Group,NMG
Nation Media Group,Aga Khan Fund for Economic Development with 44.66 percent.
Nation Media Group,Alpine Investments Limited with 10.15 percent.
Nation Media Group,National Social Security Fund with 3.44 percent.
Nation Media Group,John Kibunga Kimani who had 1.54 percent shareholding.
Nation Media Group,Jubilee Insurance Company of Kenya Limited with 1.07 percent.
Nation Media Group,"Standard Chartered Nominees A/c KE17984, who controlled 0.91 percent"
Nation Media Group,CfC Stanbic Nominee Limited with 0.81 percent shareholding.[7]
Olympia Capital Holdings,Olympia Capital Holdings Limited
Sameer Group,Sameer Group of Companies
Sameer Group,"Sasini Tea & Coffee, Nairobi, Kenya"
Sameer Group,"Sameer Agriculture & Livestock Limited, Kampala, Uganda - Dairy Processing (Sold to Brookside Dairies in May 2015).[4]"
Sameer Group,"Sameer Industrial Park Limited, Nairobi, Kenya"
Sameer Group,"Sameer Business Park Limited, Nairobi, Kenya"
Sameer Group,"Sameer Africa Limited, Nairobi, Kenya - Manufacture of tires. Formerly ""Firestone East Africa Limited[5]"
Sameer Group,"Ryce East Africa Limited, Nairobi, Kenya"
Sameer Group,"Yansam Motors Limited, Nairobi, Kenya"
Sameer Group,"Swift Global Kenya Limited, Nairobi, Kenya"
Sameer Group,"Kenya Data Networks Limited, Nairobi, Kenya - Information Technology Company"
Sameer Group,"Infocom Limited, Kampala, Uganda - Internet Service Provider"
Sameer Group,"Eveready East Africa Limited, Nairobi, Kenya - Manufacture of batteries"
Sameer Group,"Ryce East Africa - Engineering Division, Nairobi, Kenya"
Sameer Group,"Equatorial Commercial Bank, Nairobi, Kenya"
Sameer Group,"Equatorial Investment Bank Limited, Nairobi, Kenya[6]"
Sameer Group,"Savanna Coffee Lounge, Nairobi, Kenya"
Sameer Group,"VLCC East Africa, a joint venture with VLCC of India, specialized in healthcare, fitness and wellness.[7]"
Siger,Société Nationale d'Investissement (SNI)
Siger,Les Domaines Agricoles
Siger,Primarios (construction firm)[3]
Société Nationale d'Investissement,Al Mada
Société Nationale d'Investissement,Agma Lahlou-Tazi
Société Nationale d'Investissement,Lafarge Maroc
Société Nationale d'Investissement,Managem
Société Nationale d'Investissement,Marjane
Société Nationale d'Investissement,Nareva
Société Nationale d'Investissement,ONAPAR
Société Nationale d'Investissement,OPTORG
Société Nationale d'Investissement,SOMED
Société Nationale d'Investissement,SONASID
Société Nationale d'Investissement,Sotherma
Société Nationale d'Investissement,Wafa Assurance
Société Nationale d'Investissement,Wafa Cash
Société Nationale d'Investissement,Wafa Capital
Société Nationale d'Investissement,Wana Corporate [fr] (Inwi)
Société Nationale d'Investissement,Aviation unit called Africaplane[22]
Dangote Group,Dangote Foundation
Dangote Group,Aliko Dangote
Dangote Group,Dangote Cement
Dangote Group,Dangote Foundation
Dangote Group,Aliko Dangote
Dangote Group,Dangote Cement
Dangote Group,Dangote Foundation
Dangote Group,Aliko Dangote
Dangote Group,Dangote Cement
John Holt Plc,John Holt plc
John Holt Plc,John Holt & Co. (Liverpool) Ltd
Transnational Corporation of Nigeria,Transcorp
Transnational Corporation of Nigeria,"Transcorp Hilton Hotel, Abuja – a 670-room 4-star hotel.[4]"
Transnational Corporation of Nigeria,"Transcorp Hotels, Calabar – a 146-room destination hotel located in the city of Calabar, Cross River State, Nigeria.[5]"
Transnational Corporation of Nigeria,"Teragro Commodities Limited – the agribusiness subsidiary, operator of the Teragro Benfruit Plant, Benue State, Nigeria.[6] Teragro Limited runs a juice concentrate plant in the Middle Belt area of Nigeria as a result of the available agricultural raw materials.[7]"
Transnational Corporation of Nigeria,"Transcorp Energy Limited – established in 2008 for upstream petroleum exploration, operator of OPL 281. It is a fully owned subsidiary of the Transnational Corporation of Nigeria.[8]"
Transnational Corporation of Nigeria,Transcorp Power Limited (TPL) – the owner and operator of the Ughelli Power Plant which was privatized by the Nigerian government along with other Nigerian power plants. The plant has an installed capacity of 1000MW.[9] The plant is located in Delta State and had an available capacity of 480 MW as of November 2015. TUPL has made full payment of $300million for the plant.
United Africa Company of Nigeria,List of Nigerian companies
United Africa Company of Nigeria,Economy of Nigeria
United Africa Company of Nigeria,List of Nigerian companies
United Africa Company of Nigeria,Economy of Nigeria
United Africa Company of Nigeria,List of Nigerian companies
United Africa Company of Nigeria,Economy of Nigeria
Bidvest Group,Bidvest Automotive
Bidvest Group,Bidvest Branded Products
Bidvest Group,Bidvest Commercial Products
Bidvest Group,Bidvest Financial Services
Bidvest Group,Bidvest Freight
Bidvest Group,Bidvest Services
Alam Group,Alam Group of Companies
Alam Group,"Rolling Steel Mills – Jinja, Uganda[5][6]"
Alam Group,"Saimmco Limited – Soroti, Uganda."
Alam Group,"Sugar & Allied Industries Limited – Kaliro, Uganda[7][8]"
Alam Group,"Kaliro Power Station – Kaliro, Uganda[9]"
